year	country	eci	inatlas
2013	UMI	1.6356665	1
2013	URY	.048715334	1
2013	USA	1.5470808	1
2013	UZB	-.73047423	1
2013	VAT	1.2239532	1
2013	VCT	-.45937699	1
2013	VEN	-.83364594	1
2013	VNM	-.18608984	1
2013	VUT	-.42616719	1
2013	WLF	1.1459521	1
2013	WSM	.44597885	1
2013	YEM	-1.4836947	1
2013	ZAF	-.089912109	1
2013	ZMB	-.42368293	1
2013	ZWE	-.84956878	1
